# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.776996322819e-02       9.029468936730e+03 
       3.794692743816e-02       8.992122359557e+03 
       3.812519683136e-02       8.954789238554e+03 
       3.830481645149e-02       8.917420979022e+03 
       3.848583341767e-02       8.880020722629e+03 
       3.866829705048e-02       8.842634966191e+03 
       3.885225900749e-02       8.805205540538e+03 
       3.903777342937e-02       8.767770263045e+03 
       3.922489709744e-02       8.730305979104e+03 
       3.941368960392e-02       8.692811935336e+03 
       3.960421353581e-02       8.655287636431e+03 
       3.979653467413e-02       8.617725117993e+03 
       3.999072220962e-02       8.580163266469e+03 
       4.018684897699e-02       8.542531068089e+03 
       4.038499170925e-02       8.504870201639e+03 
       4.058523131448e-02       8.467147293757e+03 
       4.078765317731e-02       8.429392385264e+03 
       4.099234748781e-02       8.391581206873e+03 
       4.119940960069e-02       8.353723902477e+03 
       4.140894042850e-02       8.315782795941e+03 
       4.162104687223e-02       8.277771962360e+03 
       4.183584229412e-02       8.239710377197e+03 
       4.205344703734e-02       8.201563969756e+03 
       4.227398899819e-02       8.163337175287e+03 
       4.249760425746e-02       8.125020301970e+03 
       4.272443777801e-02       8.086593534345e+03 
       4.295464417731e-02       8.048061190461e+03 
       4.318838858430e-02       8.009425799701e+03 
       4.342584759202e-02       7.970668140871e+03 
       4.366721031879e-02       7.931767772558e+03 
       4.391267959277e-02       7.892725481414e+03 
       4.416247327749e-02       7.853551255925e+03 
       4.441682575835e-02       7.814215307362e+03 
       4.467598961383e-02       7.774683127270e+03 
       4.494023749906e-02       7.734986348830e+03 
       4.520986427435e-02       7.695060518874e+03 
       4.548518941700e-02       7.654931774129e+03 
       4.576655976199e-02       7.614572661319e+03 
       4.605435262550e-02       7.573933315752e+03 
       4.634897937570e-02       7.533055162114e+03 
       4.665088952790e-02       7.491868788679e+03 
       4.696057545680e-02       7.450364422060e+03 
       4.727857783750e-02       7.408504049114e+03 
       4.760549195064e-02       7.366325925979e+03 
       4.794197501647e-02       7.323685322958e+03 
       4.828875475883e-02       7.280658844549e+03 
       4.864663944591e-02       7.237129100267e+03 
       4.901652971180e-02       7.193083029531e+03 
       4.939943253516e-02       7.148516254431e+03 
       4.979647784257e-02       7.103322280442e+03 
       5.020893832037e-02       7.057451980931e+03 
       5.063825316596e-02       7.010838226278e+03 
       5.108605669813e-02       6.963433811888e+03 
       5.155421298513e-02       6.915135577770e+03 
       5.204485795484e-02       6.865828590037e+03 
       5.256045083704e-02       6.815404981409e+03 
       5.310383727240e-02       6.763725153361e+03 
       5.367832701860e-02       6.710664781619e+03 
       5.428778989589e-02       6.655971146780e+03 
       5.493677441463e-02       6.599458085544e+03 
       5.563065432439e-02       6.540847670168e+03 
       5.637580888337e-02       6.479762479904e+03 
       5.717984244891e-02       6.415789704745e+03 
       5.805184696106e-02       6.348389501498e+03 
       5.900270492598e-02       6.276885481382e+03 
       6.004541670018e-02       6.200380513537e+03 
       6.119540751331e-02       6.117728424384e+03 
       6.247071661004e-02       6.027450716828e+03 
       6.389188187298e-02       5.927678846193e+03 
       6.548120776094e-02       5.815981901409e+03 
       6.726098598223e-02       5.689467706974e+03 
       6.925027446464e-02       5.544934283000e+03 
       7.146030898474e-02       5.379323628144e+03 
       7.388972151640e-02       5.190620232351e+03 
       7.652197333262e-02       4.978895095346e+03 
       7.932727247071e-02       4.747189548871e+03 
       8.226878140840e-02       4.501528035082e+03 
       8.531002609012e-02       4.250121339724e+03 
       8.842013393485e-02       4.001889860656e+03 
       9.157575127433e-02       3.765144746812e+03 
       9.476054009261e-02       3.546554550684e+03 
       9.796365333792e-02       3.350612651145e+03 
       1.011781298857e-01       3.179509508943e+03 
       1.043995974177e-01       3.033299678726e+03 
       1.076253461318e-01       2.910244905217e+03 
       1.108537103005e-01       2.807220169199e+03 
       1.140836710387e-01       2.720168221983e+03 
       1.173146069169e-01       2.644563843218e+03 
       1.205461395116e-01       2.575818418734e+03 
       1.237780385332e-01       2.509687993583e+03 
       1.270101638350e-01       2.442657428341e+03 
       1.302424300729e-01       2.372167899162e+03 
       1.334747852046e-01       2.296807143582e+03 
       1.367071974235e-01       2.216308907345e+03 
       1.399396472228e-01       2.131443803244e+03 
       1.431721225762e-01       2.043768159406e+03 
       1.464046160117e-01       1.955353211382e+03 
       1.496371228350e-01       1.868449500778e+03 
