# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  143       5.449095408234e-10       1.449156855221e-13      -5.928727405336e-12       0.000000000000e+00       4.004913435883e-12       6.738979854458e-13      -4.331114748751e-15 
  144       5.493068687050e-10       1.446733460752e-13      -5.953530179161e-12       0.000000000000e+00       3.927434895605e-12       6.639801778152e-13      -4.275031437901e-15 
  145       5.536860390649e-10       1.443681726520e-13      -5.975484294362e-12       0.000000000000e+00       3.851681108704e-12       6.541570358969e-13      -4.215681245509e-15 
  146       5.580460504603e-10       1.440007793628e-13      -5.994540996448e-12       0.000000000000e+00       3.777659888492e-12       6.444356769565e-13      -4.153294288889e-15 
  147       5.623858659307e-10       1.435718732957e-13      -6.010652852704e-12       0.000000000000e+00       3.705373001111e-12       6.348229494382e-13      -4.088115891558e-15 
  148       5.667044122155e-10       1.430822562313e-13      -6.023773792120e-12       0.000000000000e+00       3.634816014058e-12       6.253254229314e-13      -4.020406846156e-15 
  149       5.710005789719e-10       1.425328263577e-13      -6.033859145319e-12       0.000000000000e+00       3.565978144723e-12       6.159493781375e-13      -3.950443677364e-15 
  150       5.752732179931e-10       1.419245799859e-13      -6.040865684489e-12       0.000000000000e+00       3.498842108920e-12       6.067007968374e-13      -3.878518904825e-15 
  151       5.795211424261e-10       1.412586132643e-13      -6.044751663308e-12       0.000000000000e+00       3.433383969422e-12       5.975853518575e-13      -3.804941306056e-15 
  152       5.837431259895e-10       1.405361238941e-13      -6.045476856878e-12       0.000000000000e+00       3.369572984495e-12       5.886083970374e-13      -3.730036179373e-15 
  153       5.879379021915e-10       1.397584128443e-13      -6.043002601650e-12       0.000000000000e+00       3.307371456427e-12       5.797749571963e-13      -3.654145606806e-15 
  154       5.921041635480e-10       1.389268860667e-13      -6.037291835355e-12       0.000000000000e+00       3.246734580067e-12       5.710897181002e-13      -3.577628717018e-15 
  155       5.962405608002e-10       1.380430562108e-13      -6.028309136933e-12       0.000000000000e+00       3.187610291354e-12       5.625570164286e-13      -3.500861948223e-15 
  156       6.003457021327e-10       1.371085443389e-13      -6.016020766463e-12       0.000000000000e+00       3.129939115855e-12       5.541808297415e-13      -3.424239311105e-15 
  157       6.044181523916e-10       1.361250816412e-13      -6.000394705090e-12       0.000000000000e+00       3.073654017290e-12       5.459647664462e-13      -3.348172651737e-15 
  158       6.084564323020e-10       1.350945111508e-13      -5.981400694957e-12       0.000000000000e+00       3.018680246077e-12       5.379120557644e-13      -3.273091914496e-15 
  159       6.124590176863e-10       1.340187894589e-13      -5.959010279131e-12       0.000000000000e+00       2.964935187853e-12       5.300255376989e-13      -3.199445404987e-15 
  160       6.164243386819e-10       1.328999884293e-13      -5.933196841536e-12       0.000000000000e+00       2.912328212018e-12       5.223076530005e-13      -3.127700052957e-15 
  161       6.203508886565e-10       1.317402486316e-13      -5.903935434695e-12       0.000000000000e+00       2.860779308749e-12       5.147600704362e-13      -3.058247571103e-15 
  162       6.242375634192e-10       1.305416314103e-13      -5.871202162036e-12       0.000000000000e+00       2.810277170177e-12       5.073825526154e-13      -2.991113053699e-15 
  163       6.280833506518e-10       1.293062569505e-13      -5.834974817019e-12       0.000000000000e+00       2.760825979922e-12       5.001739702239e-13      -2.926220991082e-15 
  164       6.318872226341e-10       1.280363528643e-13      -5.795233129049e-12       0.000000000000e+00       2.712427022052e-12       4.931326440928e-13      -2.863486887375e-15 
  165       6.356481359667e-10       1.267342556844e-13      -5.751958802432e-12       0.000000000000e+00       2.665078616061e-12       4.862563334976e-13      -2.802817090444e-15 
  166       6.393650312935e-10       1.254024123562e-13      -5.705135555323e-12       0.000000000000e+00       2.618776051847e-12       4.795422244553e-13      -2.744108621860e-15 
