#scalar perturbations for mode k = 1.088182900000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm             21:delta_idm             22:theta_idm          
       7.625592440235e+00       1.817368407761e-05      -1.190506486983e+00       2.641042494821e-04       6.297706061734e-08       1.574426515434e-07       2.299142188133e-13       3.148853030867e-08      -8.928798652371e-01       2.641042497588e-04       5.887756306462e-01       7.027097943554e-01      -1.190506388386e+00       2.640210845847e-04       2.691018013458e-04      -1.190506388386e+00       2.640210845847e-04       2.691018013458e-04      -8.928800159786e-01       2.642732994644e-04      -8.928799076655e-01       2.641831271893e-04 
       7.734083052832e+00       1.843617897655e-05      -1.190761579661e+00       2.678443137150e-04       6.572675364607e-08       1.643168841152e-07       2.469343511241e-13       3.286337682303e-08      -8.930711847462e-01       2.678443140324e-04       5.887782668961e-01       7.026556397589e-01      -1.190761468774e+00       2.677575226179e-04       2.767925954844e-04      -1.190761468774e+00       2.677575226179e-04       2.767925954844e-04      -8.930713542202e-01       2.680206286077e-04      -8.930712361943e-01       2.679317402082e-04 
       7.842573665429e+00       1.869878427593e-05      -1.191016476857e+00       2.715836030056e-04       6.855593787205e-08       1.713898446801e-07       2.649532887988e-13       3.427796893602e-08      -8.932623576429e-01       2.715836033668e-04       5.887809609389e-01       7.026016692733e-01      -1.191016353146e+00       2.714930811047e-04       2.845913759825e-04      -1.191016353146e+00       2.714930811047e-04       2.845913759825e-04      -8.932625466487e-01       2.717673864343e-04      -8.932624190473e-01       2.716797463813e-04 
       8.034584944566e+00       1.916382484223e-05      -1.191467274264e+00       2.781996547675e-04       7.376157975465e-08       1.844039493866e-07       2.994277800868e-13       3.688078987732e-08      -8.936004556984e-01       2.781996552136e-04       5.887858591320e-01       7.025065640321e-01      -1.191467126507e+00       2.781022688240e-04       2.986585850722e-04      -1.191467126507e+00       2.781022688240e-04       2.986585850722e-04      -8.936006812998e-01       2.783971638320e-04      -8.936005370764e-01       2.783116505027e-04 
       8.226596223704e+00       1.962921117874e-05      -1.191917835079e+00       2.848132690449e-04       7.922633923762e-08       1.980658480941e-07       3.374215215783e-13       3.961316961881e-08      -8.939383763097e-01       2.848132695864e-04       5.887909114895e-01       7.024119413131e-01      -1.191917661475e+00       2.847086781158e-04       3.130637980150e-04      -1.191917661475e+00       2.847086781158e-04       3.130637980150e-04      -8.939386412056e-01       2.850251652075e-04      -8.939384807587e-01       2.849416793003e-04 
       8.418607502841e+00       2.009494329284e-05      -1.192368428133e+00       2.914244539858e-04       8.495670607258e-08       2.123917651815e-07       3.792003514648e-13       4.247835303629e-08      -8.942763211000e-01       2.914244546339e-04       5.887960888364e-01       7.023177337531e-01      -1.192368226792e+00       2.913123086194e-04       3.278068565478e-04      -1.192368226792e+00       2.913123086194e-04       3.278068565478e-04      -8.942766281175e-01       2.916514137689e-04      -8.942764518277e-01       2.915698627773e-04 
       8.610618781978e+00       2.056102119384e-05      -1.192819294555e+00       2.980332169028e-04       9.095918374291e-08       2.273979593573e-07       4.250435316840e-13       4.547959187146e-08      -8.946144709166e-01       2.980332176696e-04       5.888013638776e-01       7.022238809141e-01      -1.192819063498e+00       2.979131591231e-04       3.428876017044e-04      -1.192819063498e+00       2.979131591231e-04       3.428876017044e-04      -8.946148230142e-01       2.982759318539e-04      -8.946146312444e-01       2.981962294610e-04 
       8.802630061116e+00       2.102744488273e-05      -1.193270631681e+00       3.046395591181e-04       9.724028768635e-08       2.431007192159e-07       4.752441035335e-13       4.862014384317e-08      -8.949529737614e-01       3.046395600166e-04       5.888067151509e-01       7.021303333073e-01      -1.193270368836e+00       3.045112224100e-04       3.583058739406e-04      -1.193270368836e+00       3.045112224100e-04       3.583058739406e-04      -8.949533740318e-01       3.048987357751e-04      -8.949531671292e-01       3.048208013125e-04 
       8.994641340253e+00       2.149421435503e-05      -1.193722603699e+00       3.112434776106e-04       1.038065454381e-07       2.595163635954e-07       5.301092535970e-13       5.190327271907e-08      -8.952919527755e-01       3.112434786547e-04       5.888121253244e-01       7.020370497304e-01      -1.193722306898e+00       3.111064869044e-04       3.740615130002e-04      -1.193722306898e+00       3.111064869044e-04       3.740615130002e-04      -8.952924044486e-01       3.115198374668e-04      -8.952921827454e-01       3.114435954319e-04 
       9.186652619390e+00       2.196132960882e-05      -1.194175360648e+00       3.178449693790e-04       1.106644979063e-07       2.766612447657e-07       5.899606885379e-13       5.533224895315e-08      -8.956315204872e-01       3.178449705837e-04       5.888175776721e-01       7.019439925191e-01      -1.194175027627e+00       3.176989410358e-04       3.901543576676e-04      -1.194175027627e+00       3.176989410358e-04       3.901543576676e-04      -8.956320269328e-01       3.181392488487e-04      -8.956317907471e-01       3.180646284730e-04 
