# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  146       5.581971564128e-10       1.447545340268e-13      -5.977589902864e-12       9.315516005847e-16       3.777659888492e-12       6.444356769565e-13      -4.153294288889e-15 
  147       5.625260961260e-10       1.443432293492e-13      -5.993280859133e-12       9.453651543138e-16       3.705373001111e-12       6.348229494382e-13      -4.088115891558e-15 
  148       5.668334415852e-10       1.438718054712e-13      -6.005981277815e-12       9.593101997916e-16       3.634816014058e-12       6.253254229314e-13      -4.020406846156e-15 
  149       5.711180842571e-10       1.433411759424e-13      -6.015646897720e-12       9.733871038373e-16       3.565978144723e-12       6.159493781375e-13      -3.950443677364e-15 
  150       5.753788780112e-10       1.427523526240e-13      -6.022234912352e-12       9.875962111926e-16       3.498842108920e-12       6.067007968374e-13      -3.878518904825e-15 
  151       5.796146383429e-10       1.421064474039e-13      -6.025704009992e-12       1.001937844008e-15       3.433383969422e-12       5.975853518575e-13      -3.804941306056e-15 
  152       5.838241415952e-10       1.414046739119e-13      -6.026014413780e-12       1.016412301330e-15       3.369572984495e-12       5.886083970374e-13      -3.730036179373e-15 
  153       5.880061241811e-10       1.406483492348e-13      -6.023127921802e-12       1.031019858585e-15       3.307371456427e-12       5.797749571963e-13      -3.654145606806e-15 
  154       5.921592818060e-10       1.398388956321e-13      -6.017007947172e-12       1.045760767072e-15       3.246734580067e-12       5.710897181002e-13      -3.577628717018e-15 
  155       5.962822686899e-10       1.389778422508e-13      -6.007619558114e-12       1.060635253441e-15       3.187610291354e-12       5.625570164286e-13      -3.500861948223e-15 
  156       6.003736967896e-10       1.380668268410e-13      -5.994929518049e-12       1.075643519186e-15       3.129939115855e-12       5.541808297415e-13      -3.424239311105e-15 
  157       6.044321350210e-10       1.371075974707e-13      -5.978906325675e-12       1.090785740128e-15       3.073654017290e-12       5.459647664462e-13      -3.348172651737e-15 
  158       6.084561084814e-10       1.361020142414e-13      -5.959520255055e-12       1.106062065905e-15       3.018680246077e-12       5.379120557644e-13      -3.273091914496e-15 
  159       6.124440976715e-10       1.350520510034e-13      -5.936743395696e-12       1.121472619454e-15       2.964935187853e-12       5.300255376989e-13      -3.199445404987e-15 
  160       6.163945377181e-10       1.339597970707e-13      -5.910549692635e-12       1.137017496501e-15       2.912328212018e-12       5.223076530005e-13      -3.127700052957e-15 
  161       6.203059269116e-10       1.328274090245e-13      -5.880914753694e-12       1.152696771155e-15       2.860779308749e-12       5.147600704362e-13      -3.058247571103e-15 
  162       6.241771647384e-10       1.316569577318e-13      -5.847815167921e-12       1.168510514335e-15       2.810277170177e-12       5.073825526154e-13      -2.991113053699e-15 
  163       6.280072423947e-10       1.304505710132e-13      -5.811229203202e-12       1.184458775998e-15       2.760825979922e-12       5.001739702239e-13      -2.926220991082e-15 
  164       6.317951358865e-10       1.292104838123e-13      -5.771137072371e-12       1.200541578694e-15       2.712427022052e-12       4.931326440928e-13      -2.863486887375e-15 
  165       6.355398057550e-10       1.279390396809e-13      -5.727520972226e-12       1.216758917087e-15       2.665078616061e-12       4.862563334976e-13      -2.802817090444e-15 
  166       6.392401968019e-10       1.266386922647e-13      -5.680365122535e-12       1.233110757463e-15       2.618776051847e-12       4.795422244553e-13      -2.744108621860e-15 
  167       6.428952378145e-10       1.253120067891e-13      -5.629655805057e-12       1.249597037246e-15       2.573511524686e-12       4.729869180232e-13      -2.687249006851e-15 
  168       6.465038412909e-10       1.239616615446e-13      -5.575381402546e-12       1.266217664516e-15       2.529274070210e-12       4.665864185969e-13      -2.632116104259e-15 
  169       6.500649031655e-10       1.225904493725e-13      -5.517532437770e-12       1.282972517521e-15       2.486049499386e-12       4.603361222086e-13      -2.578577936501e-15 
