# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  134       5.161670244426e-10       1.492636800692e-13      -5.736015145628e-12       0.000000000000e+00       4.598224160783e-12       7.579040145542e-13      -4.977922279416e-15 
  135       5.208260041642e-10       1.496227518839e-13      -5.785980360123e-12       0.000000000000e+00       4.502948088423e-12       7.457924589612e-13      -4.906784513371e-15 
  136       5.254804262815e-10       1.499157291768e-13      -5.833559362330e-12       0.000000000000e+00       4.410319909929e-12       7.339477915949e-13      -4.836167492556e-15 
  137       5.301290595231e-10       1.501424052978e-13      -5.878689122185e-12       0.000000000000e+00       4.320271100946e-12       7.223682020442e-13      -4.766121647541e-15 
  138       5.347706035705e-10       1.503026497971e-13      -5.921307404381e-12       0.000000000000e+00       4.232718746138e-12       7.110505264245e-13      -4.696694860260e-15 
  139       5.394036874729e-10       1.503964101234e-13      -5.961352805683e-12       0.000000000000e+00       4.147565196847e-12       6.999902126240e-13      -4.627932367899e-15 
  140       5.440268680634e-10       1.504237133223e-13      -5.998764792242e-12       0.000000000000e+00       4.064697728760e-12       6.891812855504e-13      -4.559876666799e-15 
  141       5.486386283739e-10       1.503846677341e-13      -6.033483736911e-12       0.000000000000e+00       3.983988199583e-12       6.786163123775e-13      -4.492567416350e-15 
  142       5.532373760510e-10       1.502794646918e-13      -6.065450956558e-12       0.000000000000e+00       3.905292706698e-12       6.682863677917e-13      -4.426041342886e-15 
  143       5.578214417711e-10       1.501083802198e-13      -6.094608749385e-12       0.000000000000e+00       3.828451244839e-12       6.581809992383e-13      -4.360332143583e-15 
  144       5.623892146018e-10       1.498717894458e-13      -6.120900987109e-12       0.000000000000e+00       3.753321253730e-12       6.482904561396e-13      -4.295461408687e-15 
  145       5.669395664707e-10       1.495702078553e-13      -6.144274878564e-12       0.000000000000e+00       3.679882711239e-12       6.386126986055e-13      -4.231410582445e-15 
  146       5.714714667259e-10       1.492042573513e-13      -6.164679451707e-12       0.000000000000e+00       3.608142798478e-12       6.291470168398e-13      -4.168146042337e-15 
  147       5.759838481581e-10       1.487746556608e-13      -6.182065054515e-12       0.000000000000e+00       3.538102793913e-12       6.198918076644e-13      -4.105627686115e-15 
  148       5.804756062026e-10       1.482822181060e-13      -6.196383395478e-12       0.000000000000e+00       3.469757925799e-12       6.108445527773e-13      -4.043808784081e-15 
  149       5.849455981421e-10       1.477278593752e-13      -6.207587584111e-12       0.000000000000e+00       3.403097224615e-12       6.020017970104e-13      -3.982635831365e-15 
