# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.282119035944e-01       4.243726285853e+03 
       1.314175259855e-01       4.118489551121e+03 
       1.346232129805e-01       3.980346387903e+03 
       1.378289422018e-01       3.830045219887e+03 
       1.410346998747e-01       3.670220278402e+03 
       1.442404774601e-01       3.505326973088e+03 
       1.474462696112e-01       3.340220956765e+03 
       1.506520729305e-01       3.180142040270e+03 
       1.538578852158e-01       3.029432791902e+03 
       1.570637050012e-01       2.891525308532e+03 
       1.602695312770e-01       2.768725504914e+03 
       1.634753633200e-01       2.661955061465e+03 
       1.666812005887e-01       2.570998944646e+03 
       1.698870426592e-01       2.494393966120e+03 
       1.730928891862e-01       2.430170441179e+03 
       1.762987398781e-01       2.375600886057e+03 
       1.795045944816e-01       2.327467138102e+03 
       1.827104527719e-01       2.283145638921e+03 
       1.859163145461e-01       2.240092194588e+03 
       1.891221796194e-01       2.195401261748e+03 
       1.923280478215e-01       2.147526609313e+03 
       1.955339189949e-01       2.095194531000e+03 
       1.987397929932e-01       2.038338189154e+03 
       2.019456696801e-01       1.977528867404e+03 
       2.051515489279e-01       1.913895304138e+03 
       2.083574306173e-01       1.849120046094e+03 
       2.115633146361e-01       1.784738251446e+03 
       2.147692008793e-01       1.722332707877e+03 
       2.179750892478e-01       1.663159145254e+03 
       2.211809796486e-01       1.608044232581e+03 
       2.243868719939e-01       1.557867741195e+03 
       2.275927662009e-01       1.512674438936e+03 
       2.307986621915e-01       1.472655889806e+03 
       2.340045598920e-01       1.437280843110e+03 
       2.372104592324e-01       1.406071833727e+03 
       2.404163601468e-01       1.378222991634e+03 
       2.436222625726e-01       1.352609368799e+03 
       2.468281664506e-01       1.328367012773e+03 
       2.500340717245e-01       1.304637289881e+03 
       2.532399783410e-01       1.280621142039e+03 
       2.564458862495e-01       1.255830310714e+03 
       2.596517954016e-01       1.229993119450e+03 
       2.628577057518e-01       1.202962799666e+03 
       2.660636172564e-01       1.174904061072e+03 
       2.692695298740e-01       1.146055909144e+03 
       2.724754435650e-01       1.116835843431e+03 
       2.756813582918e-01       1.087652960910e+03 
       2.788872740184e-01       1.058989180369e+03 
       2.820931907106e-01       1.031426871350e+03 
       2.852991083356e-01       1.005292090343e+03 
       2.885050268621e-01       9.808112336956e+02 
       2.917109462604e-01       9.581762552457e+02 
       2.949168665017e-01       9.373436159059e+02 
       2.981227875588e-01       9.182190331363e+02 
       3.013287094055e-01       9.005418059722e+02 
       3.045346320167e-01       8.840841418394e+02 
       3.077405553684e-01       8.685858616017e+02 
       3.109464794376e-01       8.537709598226e+02 
       3.141524042021e-01       8.392760684064e+02 
       3.173583296409e-01       8.249656506627e+02 
       3.205642557335e-01       8.106422371882e+02 
       3.237701824606e-01       7.960600615044e+02 
       3.269761098032e-01       7.812916255525e+02 
       3.301820377434e-01       7.662371980123e+02 
       3.333879662640e-01       7.510682787035e+02 
       3.365938953481e-01       7.358752547908e+02 
       3.397998249798e-01       7.208425521703e+02 
       3.430057551437e-01       7.060036105666e+02 
       3.462116858249e-01       6.915835221490e+02 
       3.494176170091e-01       6.776627524069e+02 
       3.526235486825e-01       6.643198532410e+02 
       3.558294808319e-01       6.516078201713e+02 
       3.590354134444e-01       6.395435787483e+02 
       3.622413465077e-01       6.281303257772e+02 
       3.654472800099e-01       6.173223187723e+02 
       3.686532139395e-01       6.070655449029e+02 
       3.718591482853e-01       5.972201643723e+02 
       3.750650830366e-01       5.877259216151e+02 
       3.782710181832e-01       5.784190078316e+02 
       3.814769537150e-01       5.693107335611e+02 
       3.846828896222e-01       5.602623511376e+02 
       3.878888258957e-01       5.513010435930e+02 
       3.910947625263e-01       5.423775496564e+02 
       3.943006995052e-01       5.334824532386e+02 
       3.975066368241e-01       5.246381631434e+02 
       4.007125744747e-01       5.158313032247e+02 
       4.039185124491e-01       5.071218207606e+02 
       4.071244507396e-01       4.985409435782e+02 
       4.103303893388e-01       4.901357563589e+02 
       4.135363282395e-01       4.819626502694e+02 
       4.167422674347e-01       4.740013836641e+02 
       4.199482069176e-01       4.662870966264e+02 
       4.231541466816e-01       4.588374564429e+02 
       4.263600867205e-01       4.516368904441e+02 
       4.295660270279e-01       4.446751957291e+02 
       4.327719675980e-01       4.379461833489e+02 
