# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   95       3.423337875615e-10       9.417164976490e-14      -2.669021051949e-12       3.682713234557e-16       1.161665922103e-11       1.557222358466e-12      -7.580410538785e-15 
   96       3.463994726639e-10       9.623616497016e-14      -2.756786461042e-12       3.761349823160e-16       1.130523334292e-11       1.523451513404e-12      -7.511561844818e-15 
   97       3.504944400501e-10       9.828949268990e-14      -2.844930315527e-12       3.840873506238e-16       1.100481376635e-11       1.490774697786e-12      -7.436720521637e-15 
   98       3.546185128085e-10       1.003297139926e-13      -2.933387489395e-12       3.921289826309e-16       1.071515373803e-11       1.459171440135e-12      -7.357187268470e-15 
   99       3.587713425409e-10       1.023548824981e-13      -3.022091645285e-12       4.002604593664e-16       1.043589583936e-11       1.428609746618e-12      -7.274373923440e-15 
  100       3.629524023190e-10       1.043630248082e-13      -3.110975252430e-12       4.084823892063e-16       1.016656818380e-11       1.399045697685e-12      -7.189806210703e-15 
  101       3.671609796414e-10       1.063521409376e-13      -3.199969604601e-12       4.167954084429e-16       9.906580614103e-12       1.370423044709e-12      -7.105126487600e-15 
  102       3.713961693905e-10       1.083202047441e-13      -3.289004838051e-12       4.252001818546e-16       9.655220899603e-12       1.342672806633e-12      -7.022096491792e-15 
  103       3.756568667890e-10       1.102651643597e-13      -3.378009949460e-12       4.336974032760e-16       9.411650933539e-12       1.315712866608e-12      -6.942600088409e-15 
  104       3.799419992406e-10       1.121849937590e-13      -3.466913371686e-12       4.422877760406e-16       9.175096751766e-12       1.289467257429e-12      -6.868239051316e-15 
  105       3.842512726899e-10       1.140778544711e-13      -3.555644750943e-12       4.509719500762e-16       8.945456013062e-12       1.263927853594e-12      -6.799052302491e-15 
  106       3.885845134234e-10       1.159419566174e-13      -3.644133444268e-12       4.597505773348e-16       8.722765873242e-12       1.239100299767e-12      -6.734627976593e-15 
  107       3.929414338244e-10       1.177755107048e-13      -3.732308006930e-12       4.686243315043e-16       8.507014839090e-12       1.214984881426e-12      -6.674493232908e-15 
  108       3.973216279548e-10       1.195767286183e-13      -3.820096216513e-12       4.775939083571e-16       8.298141095546e-12       1.191576337866e-12      -6.618112530335e-15 
  109       4.017245671371e-10       1.213438246138e-13      -3.907425096982e-12       4.866600260988e-16       8.096030832910e-12       1.168863675204e-12      -6.564885902380e-15 
  110       4.061495955362e-10       1.230750163108e-13      -3.994220942764e-12       4.958234257163e-16       7.900516574036e-12       1.146829979378e-12      -6.514147232147e-15 
  111       4.105959257414e-10       1.247685256846e-13      -4.080409342819e-12       5.050848713267e-16       7.711375501524e-12       1.125452229152e-12      -6.465162527329e-15 
  112       4.150626343477e-10       1.264225800595e-13      -4.165915204715e-12       5.144451505258e-16       7.528327784919e-12       1.104701109115e-12      -6.417128195199e-15 
  113       4.195486575388e-10       1.280354131009e-13      -4.250662778701e-12       5.239050747363e-16       7.351034907908e-12       1.084540822687e-12      -6.369169317602e-15 
  114       4.240527866677e-10       1.296052658082e-13      -4.334575681787e-12       5.334654795567e-16       7.179097995510e-12       1.064928905116e-12      -6.320337925944e-15 
  115       4.285736638395e-10       1.311303875076e-13      -4.417576921809e-12       5.431272251097e-16       7.012056141281e-12       1.045816036488e-12      -6.269611276185e-15 
  116       4.331099730331e-10       1.326090844641e-13      -4.499589869724e-12       5.528911704567e-16       6.849487466892e-12       1.027156864970e-12      -6.216109726912e-15 
  117       4.376610492742e-10       1.340398703031e-13      -4.580541259099e-12       5.627580925673e-16       6.691329816502e-12       1.008944369229e-12      -6.159784113649e-15 
  118       4.422263355747e-10       1.354213358263e-13      -4.660358598205e-12       5.727287581070e-16       6.537596092988e-12       9.911793421270e-13      -6.100809096002e-15 
  119       4.468051913591e-10       1.367521044272e-13      -4.738969286546e-12       5.828039486070e-16       6.388274258166e-12       9.738596656275e-13      -6.039371246677e-15 
  120       4.513968897759e-10       1.380308335039e-13      -4.816300647309e-12       5.929844605839e-16       6.243326568314e-12       9.569802211413e-13      -5.975669268140e-15 
  121       4.560006150080e-10       1.392562158734e-13      -4.892279959830e-12       6.032711056585e-16       6.102688809704e-12       9.405327998811e-13      -5.909914209284e-15 
  122       4.606154595835e-10       1.404269811851e-13      -4.966834492047e-12       6.136647106754e-16       5.966269534127e-12       9.245060132125e-13      -5.842329682089e-15 
  123       4.652404216868e-10       1.415418973343e-13      -5.039891532961e-12       6.241661178220e-16       5.833949294424e-12       9.088852030062e-13      -5.773152078287e-15 
  124       4.698744024690e-10       1.425997718762e-13      -5.111378425093e-12       6.347761847478e-16       5.705579880013e-12       8.936523519900e-13      -5.702630786024e-15 
  125       4.745162033590e-10       1.435994534392e-13      -5.181222596943e-12       6.454957846837e-16       5.580983552414e-12       8.787859941005e-13      -5.631028406522e-15 
  126       4.791645233740e-10       1.445398331387e-13      -5.249351595446e-12       6.563258065611e-16       5.459952280785e-12       8.642611248350e-13      -5.558620970746e-15 
  127       4.838179564306e-10       1.454198459910e-13      -5.315693118433e-12       6.672671551311e-16       5.342246977442e-12       8.500491116034e-13      -5.485698156061e-15 
  128       4.884749886555e-10       1.462384723266e-13      -5.380175047090e-12       6.783207510837e-16       5.227596733391e-12       8.361176040801e-13      -5.412563502900e-15 
  129       4.931341502511e-10       1.469947796000e-13      -5.442726184134e-12       6.894875038718e-16       5.115757047749e-12       8.224381160850e-13      -5.339490922292e-15 
  130       4.977944956416e-10       1.476880500010e-13      -5.503278490977e-12       7.007682265573e-16       5.006693362012e-12       8.090099020292e-13      -5.266588363838e-15 
  131       5.024551711630e-10       1.483176695793e-13      -5.561765158465e-12       7.121637118049e-16       4.900416308756e-12       7.958385425214e-13      -5.193919531776e-15 
  132       5.071152636615e-10       1.488830907892e-13      -5.618119960295e-12       7.236747582654e-16       4.796924183565e-12       7.829284732168e-13      -5.121546158324e-15 
  133       5.117737989105e-10       1.493838341924e-13      -5.672277290522e-12       7.353021704996e-16       4.696202602704e-12       7.702829500647e-13      -5.049527907581e-15 
  134       5.164297400273e-10       1.498194901611e-13      -5.724172201068e-12       7.470467589016e-16       4.598224160783e-12       7.579040145542e-13      -4.977922279416e-15 
  135       5.210819858897e-10       1.501897205801e-13      -5.773740439229e-12       7.589093396236e-16       4.502948088423e-12       7.457924589612e-13      -4.906784513371e-15 
  136       5.257293695529e-10       1.504942605500e-13      -5.820918485185e-12       7.708907344989e-16       4.410319909929e-12       7.339477915949e-13      -4.836167492556e-15 
  137       5.303706566662e-10       1.507329200897e-13      -5.865643589504e-12       7.829917709665e-16       4.320271100946e-12       7.223682020442e-13      -4.766121647541e-15 
  138       5.350045438896e-10       1.509055858392e-13      -5.907853810656e-12       7.952132819948e-16       4.232718746138e-12       7.110505264245e-13      -4.696694860260e-15 
  139       5.396296573107e-10       1.510122227624e-13      -5.947488052517e-12       8.075561060053e-16       4.147565196847e-12       6.999902126240e-13      -4.627932367899e-15 
  140       5.442445508612e-10       1.510528758498e-13      -5.984486101878e-12       8.200210867969e-16       4.064697728760e-12       6.891812855504e-13      -4.559876666799e-15 
  141       5.488477047341e-10       1.510276718209e-13      -6.018788665953e-12       8.326090734692e-16       3.983988199583e-12       6.786163123775e-13      -4.492567416350e-15 
  142       5.534375237997e-10       1.509368208275e-13      -6.050337409887e-12       8.453209203471e-16       3.905292706698e-12       6.682863677917e-13      -4.426041342886e-15 
  143       5.580123360230e-10       1.507806181560e-13      -6.079074994266e-12       8.581574869044e-16       3.828451244839e-12       6.581809992383e-13      -4.360332143583e-15 
  144       5.625705283382e-10       1.505594575561e-13      -6.104945660810e-12       8.711195873245e-16       3.753321253730e-12       6.482904561396e-13      -4.295461408687e-15 
  145       5.671109727124e-10       1.502738691132e-13      -6.127896975363e-12       8.842078337396e-16       3.679882711239e-12       6.386126986055e-13      -4.231410582445e-15 
  146       5.716326392719e-10       1.499244883641e-13      -6.147878328840e-12       8.974227773207e-16       3.608142798478e-12       6.291470168398e-13      -4.168146042337e-15 
  147       5.761344618298e-10       1.495120467598e-13      -6.164840444768e-12       9.107649568903e-16       3.538102793913e-12       6.198918076644e-13      -4.105627686115e-15 
  148       5.806153370925e-10       1.490373734356e-13      -6.178735419945e-12       9.242348985569e-16       3.469757925799e-12       6.108445527773e-13      -4.043808784081e-15 
  149       5.850741238665e-10       1.485013969802e-13      -6.189516765099e-12       9.378331153499e-16       3.403097224615e-12       6.020017970104e-13      -3.982635831365e-15 
  150       5.895096422654e-10       1.479051472054e-13      -6.197139445546e-12       9.515601068533e-16       3.338103375507e-12       5.933591265875e-13      -3.922048400197e-15 
  151       5.939206729159e-10       1.472497569158e-13      -6.201559921848e-12       9.654163588408e-16       3.274752570719e-12       5.849111473821e-13      -3.861978992195e-15 
  152       5.983059561655e-10       1.465364636779e-13      -6.202736190472e-12       9.794023429102e-16       3.213014362035e-12       5.766514631752e-13      -3.802352890631e-15 
  153       6.026641912884e-10       1.457666115903e-13      -6.200627824450e-12       9.935185161173e-16       3.152851513209e-12       5.685726539134e-13      -3.743088012718e-15 
  154       6.069940356925e-10       1.449416530526e-13      -6.195196014034e-12       1.007765320611e-15       3.094219852409e-12       5.606662539667e-13      -3.684094761882e-15 
  155       6.112941041262e-10       1.440631505353e-13      -6.186403607360e-12       1.022143183268e-15       3.037068124651e-12       5.529227303863e-13      -3.625275880041e-15 
  156       6.155629678853e-10       1.431327783492e-13      -6.174215151102e-12       1.036652515326e-15       2.981337844234e-12       5.453314611624e-13      -3.566526299884e-15 
  157       6.197991540191e-10       1.421523244152e-13      -6.158596931132e-12       1.051293712019e-15       2.926963147181e-12       5.378807134826e-13      -3.507732997149e-15 
  158       6.240011445377e-10       1.411236920334e-13      -6.139517013180e-12       1.066067152213e-15       2.873870643673e-12       5.305576219889e-13      -3.448774842895e-15 
  159       6.281673756187e-10       1.400489016529e-13      -6.116945283491e-12       1.080973198037e-15       2.821979270485e-12       5.233481670365e-13      -3.389522455787e-15 
  160       6.322962368133e-10       1.389300926416e-13      -6.090853489483e-12       1.096012194522e-15       2.771200143426e-12       5.162371529511e-13      -3.329838054371e-15 
  161       6.363861798919e-10       1.377694756490e-13      -6.061215117171e-12       1.111184432340e-15       2.721454768983e-12       5.092115503858e-13      -3.269610427031e-15 
  162       6.404360578606e-10       1.365691812478e-13      -6.028004925892e-12       1.126490033103e-15       2.672731798903e-12       5.022709011959e-13      -3.208863627277e-15 
  163       6.444448145478e-10       1.353314012274e-13      -5.991199449947e-12       1.141929053176e-15       2.625035035917e-12       4.954177964258e-13      -3.147657653100e-15 
  164       6.484113773765e-10       1.340584383254e-13      -5.950777197727e-12       1.157501519123e-15       2.578365463347e-12       4.886545887524e-13      -3.086054207553e-15 
  165       6.523346570747e-10       1.327527077707e-13      -5.906718691621e-12       1.173207427177e-15       2.532721182007e-12       4.819833862203e-13      -3.024116712596e-15 
  166       6.562135473874e-10       1.314167388251e-13      -5.859006507922e-12       1.189046742701e-15       2.488097347114e-12       4.754060459779e-13      -2.961910322950e-15 
  167       6.600469247870e-10       1.300531763260e-13      -5.807625316738e-12       1.205019399653e-15       2.444486105186e-12       4.689241680127e-13      -2.899501939945e-15 
  168       6.638336481849e-10       1.286647822282e-13      -5.752561921896e-12       1.221125300052e-15       2.401876530952e-12       4.625390888875e-13      -2.836960225367e-15 
  169       6.675725586425e-10       1.272544371463e-13      -5.693805300851e-12       1.237364313440e-15       2.360254564259e-12       4.562518754755e-13      -2.774355615313e-15 
